number,value,datetime_start,datetime_complete,duration,params_dropout,params_hidden_size,params_l2,params_learning_rate,params_loss_alpha,params_loss_gamma,params_n_hidden_layers,user_attrs_n_epochs,system_attrs_completed_rung_0,system_attrs_completed_rung_1,system_attrs_completed_rung_2,system_attrs_completed_rung_3,state
267,0.45090484619140625,2023-07-10 10:50:39.956137,2023-07-10 10:51:18.046102,0 days 00:00:38.089965,0.011355548201081806,5,3.2049303904290323e-06,0.020566978283472405,0.4796960887457371,2.588610364047322,3,13.0,0.44005727767944336,0.4492728114128113,0.45818883180618286,,COMPLETE
260,0.4508293569087982,2023-07-10 10:48:26.078937,2023-07-10 10:48:58.536654,0 days 00:00:32.457717,0.014232770568870184,5,1.5298529968072382e-06,0.021355316356842593,0.4496779043841447,2.2255961433223095,3,9.0,0.44746309518814087,0.4521833658218384,0.45966053009033203,,COMPLETE
293,0.45077022910118103,2023-07-10 10:54:53.934349,2023-07-10 10:55:30.278709,0 days 00:00:36.344360,0.06233235983150804,5,2.5765298502682412e-06,0.023495901337923775,0.4289281023268651,2.395138379908933,3,12.0,0.4477419853210449,0.454346239566803,,,COMPLETE
404,0.45071616768836975,2023-07-10 11:11:34.091866,2023-07-10 11:12:19.029606,0 days 00:00:44.937740,0.023187285500592764,4,0.00017986948575456185,0.014171469981647294,0.7101070444929944,0.21480059999551102,3,20.0,0.4476270377635956,0.4594128727912903,,,COMPLETE
199,0.45071208477020264,2023-07-10 10:34:29.706399,2023-07-10 10:35:02.221615,0 days 00:00:32.515216,0.04008685519744595,4,8.210589275643493e-06,0.027247081356254678,0.4145665194850787,3.185513682676874,3,9.0,0.4572661817073822,,,,COMPLETE
341,0.4506712853908539,2023-07-10 11:00:55.930924,2023-07-10 11:01:27.612445,0 days 00:00:31.681521,0.0246804218841847,4,1.0192830685578773e-05,0.02754200397877954,0.4395018629492275,1.4966728281909765,3,10.0,0.4328276515007019,0.4550420641899109,0.45709362626075745,,COMPLETE
456,0.450615257024765,2023-07-10 11:18:35.072693,2023-07-10 11:19:15.829140,0 days 00:00:40.756447,0.09069318663414064,3,0.00018725277739226943,0.018978434427347812,0.35136380307413984,0.16672021458799613,3,12.0,0.46015506982803345,,,,COMPLETE
174,0.45056429505348206,2023-07-10 10:29:30.821623,2023-07-10 10:30:05.155170,0 days 00:00:34.333547,0.00649323945892441,4,4.306636883349011e-06,0.026259557978190722,0.5047471829667767,3.1955400182249045,3,15.0,0.45804840326309204,,,,COMPLETE
263,0.4505554139614105,2023-07-10 10:49:08.062331,2023-07-10 10:49:51.776135,0 days 00:00:43.713804,0.011999881853156983,5,6.054894156563935e-06,0.02038339224363149,0.40498773819108297,2.4141992246732857,3,15.0,0.4349699318408966,0.44581517577171326,0.45727086067199707,0.4559103846549988,COMPLETE
182,0.4505208730697632,2023-07-10 10:31:24.126621,2023-07-10 10:32:05.036421,0 days 00:00:40.909800,0.05541539559105224,4,1.4305390232244257e-05,0.027607710911151506,0.4307348719456641,2.9735601125980207,3,12.0,0.4362926483154297,0.4595062732696533,,,COMPLETE
243,0.4504469931125641,2023-07-10 10:43:05.839073,2023-07-10 10:43:36.659976,0 days 00:00:30.820903,0.0013302136816896104,5,3.08288125334488e-05,0.02214336903985333,0.48234447338121755,2.302772418983155,3,10.0,0.45953530073165894,,,,COMPLETE
440,0.4504246711730957,2023-07-10 11:15:02.024446,2023-07-10 11:15:38.910635,0 days 00:00:36.886189,0.008532287975107041,3,5.825434619584237e-06,0.023034688356656632,0.5188418997781522,1.0248061593406508,3,11.0,0.457746684551239,,,,COMPLETE
