number,value,datetime_start,datetime_complete,duration,params_dropout,params_hidden_size,params_l2,params_learning_rate,params_loss_alpha,params_loss_gamma,params_n_hidden_layers,system_attrs_completed_rung_0,system_attrs_completed_rung_1,system_attrs_completed_rung_2,system_attrs_completed_rung_3,state
439,0.45878297090530396,2023-04-26 18:01:05.702916,2023-04-26 18:01:11.645335,0 days 00:00:05.942419,0.08611335602713419,5,0.00010958130174982027,0.02942868241518315,0.4,0.5,2,0.45009419322013855,0.45878297090530396,,,PRUNED
354,0.4587206542491913,2023-04-26 17:41:13.060462,2023-04-26 17:41:18.974883,0 days 00:00:05.914421,0.053713844286791705,5,0.00015654095214887408,0.0075124212741002885,0.5,0.25,2,0.4438502788543701,0.45097583532333374,0.4587206542491913,,PRUNED
93,0.4587193727493286,2023-04-26 16:46:46.589259,2023-04-26 16:47:03.562954,0 days 00:00:16.973695,0.053978601672533114,5,0.0001736996614018083,0.003275051369834869,0.5,0.25,2,0.4401165843009949,0.4495311975479126,0.4614267647266388,0.4587193727493286,PRUNED
398,0.45869654417037964,2023-04-26 17:53:40.751885,2023-04-26 17:53:46.930359,0 days 00:00:06.178474,0.04976299314700256,5,7.275381361904575e-05,0.008822146790000832,0.4,0.5,2,0.4431599974632263,0.4533628821372986,0.45869654417037964,,PRUNED
161,0.45868825912475586,2023-04-26 17:02:46.188106,2023-04-26 17:02:52.424555,0 days 00:00:06.236449,0.054962379061167244,5,0.00010053826071243911,0.0038456722533565823,0.6000000000000001,0.0,2,0.43794333934783936,0.4505358636379242,0.45868825912475586,,PRUNED
255,0.45867612957954407,2023-04-26 17:27:28.935643,2023-04-26 17:27:35.535975,0 days 00:00:06.600332,0.09500623307280374,5,0.0001612691853156484,0.006795371492318339,0.5,0.0,2,0.43742188811302185,0.450863778591156,0.45867612957954407,,PRUNED
466,0.45865821838378906,2023-04-26 18:06:05.399418,2023-04-26 18:06:11.283974,0 days 00:00:05.884556,0.07080936942526532,5,5.647305320563278e-05,0.013828461118663007,0.5,0.5,2,0.45403870940208435,0.45865821838378906,,,PRUNED
266,0.4586303234100342,2023-04-26 17:28:48.523155,2023-04-26 17:28:55.390139,0 days 00:00:06.866984,0.09248825545893295,5,0.00014839058258342048,0.007182974590923655,0.5,0.25,2,0.4523014426231384,0.4586303234100342,,,PRUNED
392,0.4586285352706909,2023-04-26 17:53:07.377427,2023-04-26 17:53:13.205702,0 days 00:00:05.828275,0.06471977201283206,5,6.936069756472583e-05,0.010663624257930125,0.4,0.5,2,0.45246613025665283,0.4586285352706909,,,PRUNED
290,0.4585939645767212,2023-04-26 17:31:32.227117,2023-04-26 17:31:38.165905,0 days 00:00:05.938788,0.08097947098629812,5,0.00016299629415723155,0.014394224167331722,0.5,0.25,2,0.4421239495277405,0.45433348417282104,0.4585939645767212,,PRUNED
444,0.4585515260696411,2023-04-26 18:03:15.714183,2023-04-26 18:03:21.629823,0 days 00:00:05.915640,0.0773539555576922,5,0.0001182653310519651,0.009551316501994242,0.4,0.25,2,0.4585515260696411,,,,PRUNED
431,0.4585074782371521,2023-04-26 17:59:15.265036,2023-04-26 17:59:21.884873,0 days 00:00:06.619837,0.07812625327546392,5,8.154284066530866e-05,0.004939238527228296,0.4,0.25,2,0.4389222264289856,0.4524294435977936,0.4585074782371521,,PRUNED
192,0.4584764838218689,2023-04-26 17:13:54.485595,2023-04-26 17:14:01.236478,0 days 00:00:06.750883,0.06073111015352819,5,0.00015803030695099007,0.0038174263886050037,0.5,0.25,2,0.4365873336791992,0.44890618324279785,0.4584764838218689,,PRUNED
159,0.458476185798645,2023-04-26 17:02:37.727222,2023-04-26 17:02:44.007460,0 days 00:00:06.280238,0.0517232476858085,5,0.00014363304754603284,0.01708486075499023,0.5,0.25,2,0.44820281863212585,0.44946321845054626,0.458476185798645,,PRUNED
184,0.4584214389324188,2023-04-26 17:10:33.183310,2023-04-26 17:10:40.162583,0 days 00:00:06.979273,0.06371894712311932,5,0.00017066569605095057,0.006765651866750291,0.5,0.25,2,0.4420630931854248,0.4551480710506439,0.4584214389324188,,PRUNED
190,0.45841535925865173,2023-04-26 17:12:50.531364,2023-04-26 17:12:57.306172,0 days 00:00:06.774808,0.06323966241524935,5,0.0001988677030038986,0.011739262631360636,0.4,0.25,2,0.4561961591243744,0.45841535925865173,,,PRUNED
175,0.4583970308303833,2023-04-26 17:07:31.226624,2023-04-26 17:07:38.224672,0 days 00:00:06.998048,0.05936293224253582,5,0.0001576455304632231,0.006220791958049248,0.5,0.25,2,0.4362281858921051,0.450103759765625,0.4583970308303833,,PRUNED
325,0.458182156085968,2023-04-26 17:37:32.509850,2023-04-26 17:37:38.724705,0 days 00:00:06.214855,0.0637898624040401,4,8.372317941964445e-05,0.018920055258205302,0.6000000000000001,0.25,2,0.44800037145614624,0.4511356055736542,0.458182156085968,,PRUNED
273,0.45816802978515625,2023-04-26 17:29:49.840539,2023-04-26 17:29:55.938333,0 days 00:00:06.097794,0.07079140305245711,6,7.731064201713998e-05,0.004321584670587734,0.6000000000000001,0.25,2,0.45816802978515625,,,,PRUNED
244,0.4581557512283325,2023-04-26 17:24:03.803595,2023-04-26 17:24:10.357170,0 days 00:00:06.553575,0.09914039152956107,5,0.00014963880444792711,0.005143104846385517,0.5,0.0,2,0.4493628740310669,0.4581557512283325,,,PRUNED
157,0.45813608169555664,2023-04-26 17:01:39.578135,2023-04-26 17:01:46.689204,0 days 00:00:07.111069,0.05464371879537825,5,0.0001173689458342065,0.004835099513790991,0.7000000000000001,0.25,2,0.4388018846511841,0.449022114276886,0.45813608169555664,,PRUNED
197,0.4581344723701477,2023-04-26 17:15:04.227246,2023-04-26 17:15:10.902764,0 days 00:00:06.675518,0.06170255142350249,5,0.0001292868532026888,0.005755649955803787,0.5,0.5,2,0.43928062915802,0.45021122694015503,0.4581344723701477,,PRUNED
201,0.45804113149642944,2023-04-26 17:15:46.172781,2023-04-26 17:15:52.430674,0 days 00:00:06.257893,0.05915637374257753,5,0.0001456974782806913,0.004861706125951631,0.5,0.25,2,0.43953704833984375,0.45123687386512756,0.45804113149642944,,PRUNED
490,0.45803117752075195,2023-04-26 18:09:21.540813,2023-04-26 18:09:36.637831,0 days 00:00:15.097018,0.06523798393630346,4,0.00021191792911321946,0.005010037734962479,0.5,0.25,2,0.46082425117492676,0.45803117752075195,,,PRUNED
237,0.457977294921875,2023-04-26 17:21:00.389900,2023-04-26 17:21:16.951264,0 days 00:00:16.561364,0.056228787070915845,5,0.00020146349758867112,0.003851775551601455,0.5,0.25,2,0.4579373896121979,0.457977294921875,,,PRUNED
437,0.45794230699539185,2023-04-26 18:00:53.621454,2023-04-26 18:00:59.734867,0 days 00:00:06.113413,0.08429702967288225,5,6.779504054566399e-05,0.009980037813002031,0.4,0.5,2,0.45794230699539185,,,,PRUNED
260,0.4578447937965393,2023-04-26 17:27:51.714022,2023-04-26 17:27:57.778677,0 days 00:00:06.064655,0.09224679660053864,5,0.00034836232943248667,0.008519973343902485,0.5,0.0,2,0.44501787424087524,0.4514343738555908,0.4578447937965393,,PRUNED
333,0.457811176776886,2023-04-26 17:38:04.408793,2023-04-26 17:38:10.144923,0 days 00:00:05.736130,0.02491324215009992,5,0.0002940169615446824,0.0049665098669859535,0.5,0.5,2,0.457811176776886,,,,PRUNED
429,0.4577943682670593,2023-04-26 17:58:54.225140,2023-04-26 17:59:09.308507,0 days 00:00:15.083367,0.051063920890871674,5,6.004101662246705e-05,0.010513150121688724,0.4,0.25,2,0.459725946187973,0.4577943682670593,,,PRUNED
