number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_gamma,params_l1_reg,params_l2_reg,params_learning_rate,params_max_depth,params_min_child_weight,params_subsample,system_attrs_completed_rung_0,system_attrs_completed_rung_1,system_attrs_completed_rung_2,system_attrs_completed_rung_3,state
739,0.6240580761880024,2023-04-26 14:02:02.598357,2023-04-26 14:02:03.703544,0 days 00:00:01.105187,0.523724830617417,0.02708366727664455,0.478186954751643,1.8272114903987506,0.24001418491493196,5,9,0.5978927923646609,0.6240580761880024,,,,PRUNED
945,0.6240921487071178,2023-04-26 14:06:45.875782,2023-04-26 14:06:47.010378,0 days 00:00:01.134596,0.9842785014960471,0.013340442410760116,0.11405379411565425,0.21261641689970318,0.246969452952762,5,9,0.9897527440971954,0.6240921487071178,,,,PRUNED
988,0.6241047800066148,2023-04-26 14:07:44.518756,2023-04-26 14:07:45.582343,0 days 00:00:01.063587,0.5172210998860264,0.01259153320360741,0.010020328936335804,1.762969252082879,0.24275890959702123,5,10,0.6110369614060857,0.6241047800066148,,,,PRUNED
904,0.6241082631319141,2023-04-26 14:05:53.097989,2023-04-26 14:05:54.187760,0 days 00:00:01.089771,0.521732239752361,0.026446056452127574,0.1904397156563818,0.43305157854433524,0.25974284061322217,4,9,0.8884402342303642,0.6241082631319141,,,,PRUNED
255,0.6241527607780668,2023-04-26 13:51:39.915015,2023-04-26 13:51:40.996626,0 days 00:00:01.081611,0.7099687580283534,0.03694434653963371,0.06968841709103342,0.8444588754068106,0.2649494235817777,3,16,0.9239743740751167,0.6241527607780668,,,,PRUNED
966,0.6241991512025705,2023-04-26 14:07:15.697847,2023-04-26 14:07:16.806152,0 days 00:00:01.108305,0.5327646626967636,0.014411026166010536,0.38353629767580844,1.5505065126854327,0.2532088235437549,4,7,0.6830711028565063,0.6241991512025705,,,,PRUNED
275,0.6242073986356771,2023-04-26 13:52:11.068965,2023-04-26 13:52:12.141054,0 days 00:00:01.072089,0.6854740376117245,0.0408590074355971,0.023321048764442912,1.3178756476245617,0.2457776889290154,4,14,0.9073604557716786,0.6242073986356771,,,,PRUNED
744,0.6242458720088793,2023-04-26 14:02:11.022446,2023-04-26 14:02:12.120534,0 days 00:00:01.098088,0.5406544863929884,0.1398911138311196,0.1939700947329311,1.5768844664465105,0.243205331017513,5,11,0.9772277930856218,0.6242458720088793,,,,PRUNED
620,0.6242524049898539,2023-04-26 13:59:28.439224,2023-04-26 13:59:29.546316,0 days 00:00:01.107092,0.5935927524337167,0.1473393888407843,0.039262087641806734,0.8192332845292665,0.23496265674775002,5,13,0.7090895552194048,0.6242524049898539,,,,PRUNED
916,0.6242579241159535,2023-04-26 14:06:09.725114,2023-04-26 14:06:10.850703,0 days 00:00:01.125589,0.9736092440363776,0.030706246602244046,0.07197833601588702,0.2673306100435706,0.2420391703784031,5,10,0.9009502355162631,0.6242579241159535,,,,PRUNED
