number,value,datetime_start,datetime_complete,duration,params_dropout,params_hidden_size,params_l2,params_learning_rate,params_loss_alpha,params_loss_gamma,params_n_hidden_layers,system_attrs_completed_rung_0,system_attrs_completed_rung_1,system_attrs_completed_rung_2,system_attrs_completed_rung_3,system_attrs_completed_rung_4,state
26,0.42559292912483215,2023-04-25 16:26:41.920443,2023-04-25 16:27:10.976516,0 days 00:00:29.056073,0.019264945227081647,36,0.0026960769369713134,0.004463382093276237,0.30000000000000004,1.25,3,0.4240019917488098,,,,,COMPLETE
373,0.4255768954753876,2023-04-25 17:48:07.070434,2023-04-25 17:48:08.443632,0 days 00:00:01.373198,0.04982396012017174,26,0.0007606155248018317,0.027448118486827565,0.6000000000000001,0.25,4,0.4255768954753876,,,,,PRUNED
363,0.4254571199417114,2023-04-25 17:46:56.270575,2023-04-25 17:46:58.240985,0 days 00:00:01.970410,0.05090851831885918,16,0.001753604210728598,0.006916195114357673,0.6000000000000001,0.0,4,0.4254571199417114,,,,,PRUNED
223,0.4253237247467041,2023-04-25 17:24:00.781398,2023-04-25 17:24:02.020137,0 days 00:00:01.238739,0.0030467211900905497,16,0.0007741251232313538,0.0014195224747996426,0.6000000000000001,0.0,4,0.4253237247467041,,,,,PRUNED
95,0.42520666122436523,2023-04-25 16:45:23.656076,2023-04-25 16:45:27.571682,0 days 00:00:03.915606,0.006109035610873346,30,0.0008376246585720007,0.005397309037314815,0.8,0.0,4,0.42930957674980164,0.42520666122436523,,,,PRUNED
83,0.42518332600593567,2023-04-25 16:39:02.329653,2023-04-25 16:39:10.850657,0 days 00:00:08.521004,0.027381286688039574,46,0.0017995589400846286,0.008056582245747342,0.6000000000000001,0.5,3,0.42518332600593567,,,,,PRUNED
57,0.4250938594341278,2023-04-25 16:31:37.947405,2023-04-25 16:31:55.172326,0 days 00:00:17.224921,0.02527430787329463,60,0.0019841905357369885,0.001828456033735753,0.5,1.0,3,0.42885923385620117,0.4310165047645569,,,,COMPLETE
201,0.42506110668182373,2023-04-25 17:19:15.207030,2023-04-25 17:19:16.332733,0 days 00:00:01.125703,0.002857083880394425,16,0.0005961516085838173,0.002122155063362193,0.5,0.0,4,0.42506110668182373,,,,,PRUNED
303,0.42502060532569885,2023-04-25 17:38:24.388356,2023-04-25 17:38:29.104276,0 days 00:00:04.715920,0.0010990950309610508,22,0.0006886965478596428,0.02198325166493107,0.6000000000000001,0.0,4,0.42502060532569885,,,,,PRUNED
345,0.42488518357276917,2023-04-25 17:44:01.216022,2023-04-25 17:44:06.002759,0 days 00:00:04.786737,0.027510441221813536,78,0.004546596023801456,0.002302103594145998,0.6000000000000001,0.75,4,0.42488518357276917,,,,,PRUNED
491,0.4248034954071045,2023-04-25 18:02:58.395643,2023-04-25 18:03:02.461802,0 days 00:00:04.066159,0.0028022522055016876,20,0.0025491943146965105,0.01392240897884919,0.6000000000000001,0.25,4,0.4248034954071045,,,,,PRUNED
70,0.42475616931915283,2023-04-25 16:35:38.204820,2023-04-25 16:35:53.145485,0 days 00:00:14.940665,0.009993320690143803,58,0.0015852145175421412,0.010428452681557286,0.4,0.5,4,0.44339391589164734,0.43221980333328247,0.4346896708011627,,,COMPLETE
102,0.4244462847709656,2023-04-25 16:47:17.525659,2023-04-25 16:47:19.518544,0 days 00:00:01.992885,0.0078040268807827605,4,0.0007957257698988998,0.005403748796841953,0.8,0.0,4,0.4244462847709656,,,,,PRUNED
79,0.42439794540405273,2023-04-25 16:37:40.228051,2023-04-25 16:37:47.090948,0 days 00:00:06.862897,0.017292582301410665,60,0.0016731225869986157,0.005857694967993337,0.30000000000000004,0.25,3,0.4316765069961548,0.42439794540405273,,,,PRUNED
179,0.4243296682834625,2023-04-25 17:14:17.004773,2023-04-25 17:14:19.444734,0 days 00:00:02.439961,0.008661767043234991,24,0.0006130146464792747,0.004804360491152216,0.6000000000000001,3.75,4,0.4243296682834625,,,,,PRUNED
434,0.42424821853637695,2023-04-25 17:56:13.434430,2023-04-25 17:56:14.943938,0 days 00:00:01.509508,0.004411225582872632,20,0.0013082985198500574,0.009186923268254599,0.6000000000000001,0.5,4,0.42424821853637695,,,,,PRUNED
397,0.42422372102737427,2023-04-25 17:51:59.415967,2023-04-25 17:52:00.773323,0 days 00:00:01.357356,0.0040708361198156275,22,0.005600336601830895,0.0030537333650477593,0.7000000000000001,0.0,4,0.42422372102737427,,,,,PRUNED
99,0.42414581775665283,2023-04-25 16:46:33.918851,2023-04-25 16:46:36.169674,0 days 00:00:02.250823,0.009647829481287985,24,0.0011400732419242984,0.0015416576705954105,0.7000000000000001,0.0,4,0.42414581775665283,,,,,PRUNED
13,0.4240017235279083,2023-04-25 16:24:37.164251,2023-04-25 16:24:52.915241,0 days 00:00:15.750990,0.04474926885305695,46,0.001969008415420827,0.0012554402958861142,0.7000000000000001,3.25,1,0.4206298291683197,0.42185235023498535,,,,COMPLETE
65,0.4238179326057434,2023-04-25 16:34:11.648030,2023-04-25 16:34:32.235134,0 days 00:00:20.587104,0.013669564670686637,60,0.0015906630168420817,0.006606814576925415,0.30000000000000004,0.0,3,0.44045817852020264,,,,,COMPLETE
