number,value,datetime_start,datetime_complete,duration,params_dropout,params_hidden_size,params_l2,params_learning_rate,params_n_hidden_layers,system_attrs_completed_rung_0,system_attrs_completed_rung_1,system_attrs_completed_rung_2,system_attrs_completed_rung_3,state
161,1.0373972654342651,2023-04-25 13:53:28.183043,2023-04-25 13:53:29.138545,0 days 00:00:00.955502,0.001964372538721864,12,0.0007527942015544481,0.03647792705987607,3,1.0373972654342651,,,,PRUNED
35,1.0375910997390747,2023-04-25 13:45:04.132979,2023-04-25 13:45:05.056200,0 days 00:00:00.923221,0.007114306326693759,28,0.0002170292223086462,0.003429485769029577,4,1.0375910997390747,,,,PRUNED
138,1.0384706258773804,2023-04-25 13:52:20.458954,2023-04-25 13:52:23.323085,0 days 00:00:02.864131,0.005815050305415812,22,0.00013060241710112033,0.008994054214756408,4,1.0384706258773804,,,,PRUNED
249,1.0385981798171997,2023-04-25 14:00:12.018241,2023-04-25 14:00:14.753183,0 days 00:00:02.734942,0.005344093255041735,24,0.0006789295927242314,0.005206638249859993,4,1.0136363506317139,1.0385981798171997,,,PRUNED
160,1.0399075746536255,2023-04-25 13:53:26.758621,2023-04-25 13:53:28.182543,0 days 00:00:01.423922,0.004068093019521945,24,0.0002899167776696506,0.002983346306489922,4,1.0399075746536255,,,,PRUNED
23,1.0403372049331665,2023-04-25 13:43:19.455635,2023-04-25 13:43:21.448392,0 days 00:00:01.992757,0.0066048185431144095,6,0.00010040139774777404,0.012315241258910379,4,1.0403372049331665,,,,PRUNED
103,1.0406761169433594,2023-04-25 13:50:01.807975,2023-04-25 13:50:03.067656,0 days 00:00:01.259681,0.005162211103994979,24,0.00022768921343877552,0.004579422395933659,4,1.0406761169433594,,,,PRUNED
220,1.0411887168884277,2023-04-25 13:57:56.549060,2023-04-25 13:57:59.440481,0 days 00:00:02.891421,0.005869098243474261,24,0.0009207071272182478,0.01630348815491739,4,1.0411887168884277,,,,PRUNED
243,1.0414965152740479,2023-04-25 13:59:37.515209,2023-04-25 13:59:44.524745,0 days 00:00:07.009536,0.0010255360295263894,32,0.0004394535360028785,0.01205975519166137,4,1.0414965152740479,,,,PRUNED
126,1.0415080785751343,2023-04-25 13:51:33.269926,2023-04-25 13:51:35.821646,0 days 00:00:02.551720,0.007223300229177325,24,0.00036690808734790077,0.00601668470363162,3,1.0415080785751343,,,,PRUNED
