number,value,datetime_start,datetime_complete,duration,params_l1_ratio,params_reg_strength,system_attrs_completed_rung_0,system_attrs_completed_rung_1,system_attrs_completed_rung_2,system_attrs_completed_rung_3,state
414,0.5718390965275587,2023-05-02 14:28:51.578320,2023-05-02 14:28:52.617964,0 days 00:00:01.039644,0.07006570794793292,0.0021107388805032263,0.5722819300140971,0.5718390965275587,,,PRUNED
341,0.5718413713728425,2023-05-02 14:27:17.394787,2023-05-02 14:27:18.618150,0 days 00:00:01.223363,0.0848212860975084,0.0023018974581746838,0.5718413713728425,,,,PRUNED
225,0.571847093662643,2023-05-02 14:24:32.908173,2023-05-02 14:24:33.981987,0 days 00:00:01.073814,0.0012014725605335441,0.003361244868506958,0.571847093662643,,,,PRUNED
286,0.5718509935210726,2023-05-02 14:26:07.622388,2023-05-02 14:26:08.842084,0 days 00:00:01.219696,0.057632923509314815,0.0027851858089921037,0.5718509935210726,,,,PRUNED
142,0.5718540934395243,2023-05-02 14:21:40.301165,2023-05-02 14:21:41.485344,0 days 00:00:01.184179,0.021266325345541223,0.0032022749370309938,0.571860437489263,0.5718540934395243,,,PRUNED
122,0.5718640113378106,2023-05-02 14:20:59.239348,2023-05-02 14:21:00.249438,0 days 00:00:01.010090,0.03829073126802219,0.003022764615314747,0.5720802741855562,0.5718640113378106,,,PRUNED
103,0.5718707684076177,2023-05-02 14:20:25.604620,2023-05-02 14:20:26.784770,0 days 00:00:01.180150,0.04808461951545806,0.002939602800033558,0.5718757991945308,0.5718707684076177,,,PRUNED
468,0.5718737600271602,2023-05-02 14:30:09.683435,2023-05-02 14:30:10.749181,0 days 00:00:01.065746,0.038172306012619804,0.0018221003537418413,0.5718737600271602,,,,PRUNED
52,0.571874337661562,2023-05-02 14:18:42.109645,2023-05-02 14:18:43.281852,0 days 00:00:01.172207,0.09551980614870902,0.0020792657650624126,0.5725258806562098,0.5719789426631474,0.571874337661562,,PRUNED
325,0.5718753271456989,2023-05-02 14:26:56.360274,2023-05-02 14:26:57.406275,0 days 00:00:01.046001,0.07154337926844746,0.002033955283767667,0.5718753271456989,,,,PRUNED
172,0.5718826069759427,2023-05-02 14:22:37.410540,2023-05-02 14:22:38.573156,0 days 00:00:01.162616,0.025969084916529567,0.0032192665769915363,0.5718826069759427,,,,PRUNED
139,0.5719060172678222,2023-05-02 14:21:33.733774,2023-05-02 14:21:34.755048,0 days 00:00:01.021274,0.03922132894971196,0.0017917656879695093,0.5719060172678222,,,,PRUNED
253,0.5719061446103305,2023-05-02 14:25:22.681634,2023-05-02 14:25:23.728594,0 days 00:00:01.046960,0.05295613682940406,0.001940335700482771,0.5719061446103305,,,,PRUNED
368,0.5719067238023641,2023-05-02 14:27:48.989938,2023-05-02 14:27:50.027067,0 days 00:00:01.037129,0.00072513573620653,0.0016936224507510165,0.5719067238023641,,,,PRUNED
396,0.5719100030194354,2023-05-02 14:28:32.086430,2023-05-02 14:28:33.288068,0 days 00:00:01.201638,0.018067092114644398,0.0032998760073189074,0.5719100030194354,,,,PRUNED
246,0.5719176507675825,2023-05-02 14:25:08.811086,2023-05-02 14:25:09.845183,0 days 00:00:01.034097,0.00038625078831233217,0.0034754020505844696,0.5721183786806157,0.5719176507675825,,,PRUNED
96,0.571974816234129,2023-05-02 14:20:11.619737,2023-05-02 14:20:12.647826,0 days 00:00:01.028089,0.0949811949053649,0.002501341460778602,0.5723671725290306,0.571974816234129,,,PRUNED
114,0.5719818898282106,2023-05-02 14:20:44.067145,2023-05-02 14:20:45.093545,0 days 00:00:01.026400,0.06545190258465786,0.0029830915439452935,0.5722342355554398,0.5719818898282106,,,PRUNED
443,0.5719910542934269,2023-05-02 14:29:38.973332,2023-05-02 14:29:40.032520,0 days 00:00:01.059188,0.0861115037956898,0.0027028576360561595,0.5719910542934269,,,,PRUNED
203,0.5719923026378249,2023-05-02 14:23:46.314635,2023-05-02 14:23:47.329943,0 days 00:00:01.015308,0.01438278677145011,0.0034666442647808154,0.5719923026378249,,,,PRUNED
412,0.5720008810514141,2023-05-02 14:28:49.535554,2023-05-02 14:28:50.593645,0 days 00:00:01.058091,0.0016079181732072678,0.00357133502302945,0.5721789885623377,0.5720008810514141,,,PRUNED
117,0.572005543281766,2023-05-02 14:20:50.660733,2023-05-02 14:20:51.695824,0 days 00:00:01.035091,0.01901060572888577,0.0034414552829793907,0.5721896759201461,0.572005543281766,,,PRUNED
358,0.572007910931513,2023-05-02 14:27:38.629599,2023-05-02 14:27:39.662189,0 days 00:00:01.032590,0.01738465573123857,0.0034603335305231687,0.5721854291676902,0.572007910931513,,,PRUNED
