number,value,datetime_start,datetime_complete,duration,params_l1_ratio,params_reg_strength,user_attrs_n_epochs,system_attrs_completed_rung_0,system_attrs_completed_rung_1,system_attrs_completed_rung_2,system_attrs_completed_rung_3,state
81,0.7440235569221082,2023-07-10 14:28:13.095842,2023-07-10 14:28:14.295373,0 days 00:00:01.199531,0.16304216267506852,0.00030735954725234294,,0.7440235569221082,,,,PRUNED
61,0.7440531232535578,2023-07-10 14:27:38.449010,2023-07-10 14:27:39.556257,0 days 00:00:01.107247,0.18141354111602429,0.0002784079637564983,,0.7440531232535578,,,,PRUNED
373,0.744079911194531,2023-07-10 14:37:11.854379,2023-07-10 14:37:13.005577,0 days 00:00:01.151198,0.1355260619137518,0.00025638436858280974,,0.744079911194531,,,,PRUNED
89,0.7440974918943136,2023-07-10 14:28:30.670224,2023-07-10 14:28:31.900585,0 days 00:00:01.230361,0.21554132677304216,0.00015876175325292178,,0.7440974918943136,,,,PRUNED
380,0.7441580771121561,2023-07-10 14:37:20.264575,2023-07-10 14:37:21.428542,0 days 00:00:01.163967,0.2842372131843279,0.0003457656407611342,,0.7441580771121561,,,,PRUNED
395,0.744180887776057,2023-07-10 14:37:38.958949,2023-07-10 14:37:40.078360,0 days 00:00:01.119411,0.02876287414344597,0.00027933035103739766,,0.744180887776057,,,,PRUNED
159,0.7442252530669679,2023-07-10 14:30:50.602203,2023-07-10 14:30:51.780859,0 days 00:00:01.178656,0.24053410388502203,0.0012104160655276386,,0.7442252530669679,,,,PRUNED
110,0.7442327646293787,2023-07-10 14:29:07.600268,2023-07-10 14:29:08.828566,0 days 00:00:01.228298,0.24743714931039396,0.00027829951723924213,,0.7442327646293787,,,,PRUNED
185,0.744261991208301,2023-07-10 14:31:47.375641,2023-07-10 14:31:48.526901,0 days 00:00:01.151260,0.12498336241078652,0.0002938912875002581,,0.744261991208301,,,,PRUNED
196,0.744289509048929,2023-07-10 14:32:11.669349,2023-07-10 14:32:12.845054,0 days 00:00:01.175705,0.19078409091344437,0.0002867628796884362,,0.744289509048929,,,,PRUNED
474,0.7443701601053234,2023-07-10 14:39:34.467442,2023-07-10 14:39:35.630141,0 days 00:00:01.162699,0.11044301045568335,0.0002496729888077533,,0.7443701601053234,,,,PRUNED
53,0.7443862388838803,2023-07-10 14:27:26.030238,2023-07-10 14:27:27.134083,0 days 00:00:01.103845,0.12785480864910245,0.0002730566751485933,,0.7443862388838803,,,,PRUNED
419,0.7443900703624989,2023-07-10 14:38:14.074736,2023-07-10 14:38:15.184882,0 days 00:00:01.110146,0.1383056832402019,0.00024203091965251352,,0.7443900703624989,,,,PRUNED
398,0.7444338519271445,2023-07-10 14:37:42.352328,2023-07-10 14:37:43.556920,0 days 00:00:01.204592,0.2682604217628158,0.001217348480893958,,0.7444338519271445,,,,PRUNED
427,0.7444856496262102,2023-07-10 14:38:27.319554,2023-07-10 14:38:28.480511,0 days 00:00:01.160957,0.3007375288416367,0.0003015199556871276,,0.7444856496262102,,,,PRUNED
350,0.7444926786269727,2023-07-10 14:36:32.411664,2023-07-10 14:36:33.611657,0 days 00:00:01.199993,0.210773217381346,0.00027519015591233916,,0.7444926786269727,,,,PRUNED
313,0.7444973928697584,2023-07-10 14:35:31.220549,2023-07-10 14:35:32.417003,0 days 00:00:01.196454,0.35094396752281803,0.00024716444040001736,,0.7444973928697584,,,,PRUNED
40,0.744597184389335,2023-07-10 14:27:04.365311,2023-07-10 14:27:05.472683,0 days 00:00:01.107372,0.2522131296488905,0.0003191626707223745,,0.744597184389335,,,,PRUNED
164,0.7446332650808635,2023-07-10 14:30:59.870092,2023-07-10 14:31:01.041900,0 days 00:00:01.171808,0.3113277455301181,0.00039963788929774275,,0.7446332650808635,,,,PRUNED
355,0.7446640750108962,2023-07-10 14:36:42.560749,2023-07-10 14:36:43.680266,0 days 00:00:01.119517,0.3196456004098115,0.0010876382369372714,,0.7446640750108962,,,,PRUNED
489,0.7446659265537677,2023-07-10 14:39:56.209581,2023-07-10 14:39:57.347338,0 days 00:00:01.137757,0.13582842938706136,0.0012222263308769052,,0.7446659265537677,,,,PRUNED
190,0.7448288447921884,2023-07-10 14:32:00.722635,2023-07-10 14:32:01.910292,0 days 00:00:01.187657,0.23613099934395568,0.00026421037362980143,,0.7448288447921884,,,,PRUNED
154,0.7448487951072544,2023-07-10 14:30:33.857628,2023-07-10 14:30:38.622736,0 days 00:00:04.765108,0.1329563250012299,0.00037092314865844786,16.0,0.7395696543226267,0.7375853027791469,,,COMPLETE
420,0.7448573192556504,2023-07-10 14:38:15.185380,2023-07-10 14:38:19.979712,0 days 00:00:04.794332,0.223726616704451,0.00037637091757205897,16.0,0.7393200874380096,0.7376307032638845,,,COMPLETE
188,0.7448645696023424,2023-07-10 14:31:54.650678,2023-07-10 14:31:59.412336,0 days 00:00:04.761658,0.2524387437490972,0.000438166507561852,14.0,0.7388406149898931,0.7376093180603464,,,COMPLETE
62,0.7448716146240594,2023-07-10 14:27:39.556757,2023-07-10 14:27:44.056442,0 days 00:00:04.499685,0.1167613765549151,0.0003922208062227932,13.0,0.7418212376431383,0.73888361666529,0.7375884153772215,,COMPLETE
244,0.74487367850878,2023-07-10 14:33:33.394855,2023-07-10 14:33:38.209311,0 days 00:00:04.814456,0.12907379092198354,0.0003868019952723684,13.0,0.742142740114417,0.7388284293302175,0.7375668443322079,,COMPLETE
145,0.7448806521805865,2023-07-10 14:30:12.749315,2023-07-10 14:30:17.392101,0 days 00:00:04.642786,0.14506779648695048,0.00039764931132202965,14.0,0.7420824878207164,0.7387778295205755,0.7374778443753417,,COMPLETE
289,0.744884510464273,2023-07-10 14:34:54.801793,2023-07-10 14:34:59.534987,0 days 00:00:04.733194,0.14934232741308345,0.0003660006294386144,16.0,0.7421286690948661,0.738835466017567,0.73757213778682,,COMPLETE
192,0.7448865117086764,2023-07-10 14:32:03.100036,2023-07-10 14:32:07.929805,0 days 00:00:04.829769,0.1983406061540743,0.00035623236465094567,19.0,0.7394640753705765,0.7375102261998302,,,COMPLETE
345,0.744888445893589,2023-07-10 14:36:18.892722,2023-07-10 14:36:23.760461,0 days 00:00:04.867739,0.2085001780389004,0.0003823632033638028,16.0,0.7375405843536456,,,,COMPLETE
302,0.7448904579638248,2023-07-10 14:35:14.182316,2023-07-10 14:35:18.980706,0 days 00:00:04.798390,0.17742161776764315,0.0004411350062014541,12.0,0.7391816669001048,0.7376122809582106,,,COMPLETE
468,0.7448962271800204,2023-07-10 14:39:23.858076,2023-07-10 14:39:28.643159,0 days 00:00:04.785083,0.13872288427074914,0.0003789659196469399,16.0,0.7390281593753145,0.7375969382812176,,,COMPLETE
87,0.7448987243878791,2023-07-10 14:28:24.512246,2023-07-10 14:28:29.302671,0 days 00:00:04.790425,0.14278224069127146,0.000353899820232511,22.0,0.7392469748311079,0.7376729128354182,,,COMPLETE
493,0.7448998122429041,2023-07-10 14:40:00.919754,2023-07-10 14:40:05.490428,0 days 00:00:04.570674,0.21030183682282236,0.0004161165267557427,13.0,0.741196120883147,0.7387907372953816,0.73756466660476,,COMPLETE
152,0.7449025303816805,2023-07-10 14:30:24.633204,2023-07-10 14:30:29.292293,0 days 00:00:04.659089,0.1395016274203554,0.0004095798348482143,14.0,0.7390049142129314,0.7374945591459229,,,COMPLETE
55,0.7449038443850645,2023-07-10 14:27:28.260723,2023-07-10 14:27:32.751302,0 days 00:00:04.490579,0.18523598081943243,0.00037947584825414444,16.0,0.7416155007275892,0.7390993104414485,0.7376268753189741,,COMPLETE
